@relation mididateWEKA
@attribute s1 {60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,0}
@attribute s2 {60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,0}
@attribute a {55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,0}
@attribute a1 {55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,0}
@attribute a2 {55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,0}
@attribute t {48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,0}
@attribute t1 {48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,0}
@attribute t2 {48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,0}
@attribute b {41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,0}
@attribute b1 {41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,0}
@attribute b2 {41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,0}

@data
77,76,72,67,67,60,59,60,52,50,48
76,74,67,67,67,59,60,59,50,48,55
74,76,67,67,67,60,59,60,48,55,60
76,77,67,67,69,59,60,60,55,60,53
77,74,67,69,67,60,60,60,60,53,55
74,74,69,67,67,60,60,59,53,55,55
74,74,67,67,65,60,59,59,55,55,55
74,74,67,65,64,59,59,60,55,55,48
74,76,65,64,64,59,60,60,55,48,60
76,79,64,64,64,60,60,62,48,60,55
79,72,64,64,64,60,62,60,60,55,57
72,72,64,64,64,62,60,64,55,57,55
72,74,64,64,64,60,64,62,57,55,53
74,76,64,64,64,64,62,60,55,53,52
76,77,64,64,64,62,60,59,53,52,50
77,76,64,64,64,60,59,60,52,50,48
76,74,64,64,64,59,60,59,50,48,55
74,71,64,64,64,60,59,62,48,55,55
71,72,64,64,64,59,62,64,55,55,48
72,69,64,64,64,62,64,62,55,48,50
69,69,64,64,64,64,62,60,48,50,50
69,67,64,64,64,62,60,59,50,50,55
67,67,64,64,64,60,59,60,50,55,52
67,72,64,64,64,59,60,64,55,52,48
72,71,64,64,64,60,64,62,52,48,55
71,67,64,64,64,64,62,60,48,55,52
67,72,64,64,64,62,60,60,55,52,57
72,74,64,64,64,60,60,57,52,57,53
74,76,64,64,64,60,57,59,57,53,52
76,76,64,64,64,57,59,60,53,52,60
76,76,64,64,64,59,60,62,52,60,59
76,79,64,64,64,60,62,62,60,59,59
79,79,64,64,64,62,62,64,59,59,57
79,78,64,64,64,62,64,62,59,57,50
78,78,64,64,64,64,62,60,57,50,50
78,79,64,64,64,62,60,62,50,50,55
79,76,64,64,64,60,62,60,50,55,60
76,79,64,64,64,62,60,62,55,60,59
79,79,64,64,64,60,62,64,60,59,59
79,72,64,64,64,62,64,65,59,59,57
72,72,64,64,64,64,65,64,59,57,55
72,74,64,64,64,65,64,62,57,55,53
74,76,64,64,64,64,62,60,55,53,52
76,77,64,64,64,62,60,59,53,52,50
77,76,64,64,64,60,59,60,52,50,48
76,74,64,64,64,59,60,59,50,48,55
74,76,64,64,64,60,59,60,48,55,48
76,77,64,64,64,59,60,60,55,48,53
77,74,64,64,64,60,60,60,48,53,55
74,74,64,64,64,60,60,59,53,55,55
74,72,64,64,64,60,59,60,55,55,48
72,72,64,64,64,59,60,57,55,48,53
72,72,64,64,64,60,57,55,48,53,48
72,0,64,64,0,57,55,0,53,48,0
72,71,0,64,62,0,55,55,0,48,43
71,69,64,62,62,55,55,54,48,43,50
69,71,62,62,62,55,54,55,43,50,43
71,67,62,62,60,54,55,52,50,43,48
67,69,62,60,60,55,52,53,43,48,53
69,71,60,60,65,52,53,55,48,53,50
71,72,60,65,64,53,55,55,53,50,48
72,72,65,64,65,55,55,60,50,48,45
72,67,64,65,64,55,60,60,48,45,48
67,67,65,64,62,60,60,55,45,48,47
67,64,64,62,60,60,55,55,48,47,48
64,67,62,60,62,55,55,59,47,48,43
67,65,60,62,60,55,59,55,48,43,45
65,65,62,60,62,59,55,55,43,45,47
65,64,60,62,60,55,55,55,45,47,48
64,64,62,60,60,55,55,57,47,48,45
64,69,60,60,60,55,57,53,48,45,53
69,69,60,60,62,57,53,54,45,53,50
69,69,60,62,60,53,54,54,53,50,50
69,67,62,60,59,54,54,55,50,50,43
67,71,60,59,62,54,55,53,50,43,44
71,72,59,62,60,55,53,52,43,44,45
72,69,62,60,62,53,52,54,44,45,50
69,69,60,62,60,52,54,54,45,50,50
69,67,62,60,59,54,54,55,50,50,43
67,72,60,59,60,54,55,52,50,43,45
72,71,59,60,64,55,52,55,43,45,52
71,69,60,64,60,52,55,57,45,52,53
69,69,64,60,62,55,57,57,52,53,53
69,67,60,62,64,57,57,60,53,53,48
67,64,62,64,60,57,60,55,53,48,48
64,65,64,60,60,60,55,57,48,48,41
65,62,60,60,59,55,57,55,48,41,43
62,60,60,59,55,57,55,52,41,43,48
60,65,59,55,60,55,52,57,43,48,41
65,64,55,60,60,52,57,55,48,41,48
64,0,60,60,0,57,55,0,41,48,0
60,60,0,55,57,0,52,53,0,48,48
60,64,55,57,60,52,53,55,48,48,48
64,65,57,60,60,53,55,53,48,48,48
65,67,60,60,60,55,53,52,48,48,48
67,69,60,60,60,53,52,53,48,48,41
69,67,60,60,60,52,53,52,48,41,48
67,67,60,60,60,53,52,50,41,48,47
67,60,60,60,60,52,50,52,48,47,45
60,60,60,60,60,50,52,53,47,45,41
60,64,60,60,60,52,53,55,45,41,48
64,69,60,60,60,53,55,53,41,48,41
69,69,60,60,60,55,53,53,48,41,41
69,67,60,60,60,53,53,50,41,41,43
67,65,60,60,60,53,50,55,41,43,43
65,64,60,60,60,50,55,55,43,43,48
64,60,60,60,60,55,55,52,43,48,48
60,60,60,60,60,55,52,52,48,48,45
60,62,60,60,60,52,52,55,48,45,43
62,62,60,60,60,52,55,55,45,43,47
62,64,60,60,60,55,55,55,43,47,48
64,62,60,60,60,55,55,55,47,48,43
62,60,60,60,60,55,55,52,48,43,45
60,62,60,60,60,55,52,55,43,45,43
62,64,60,60,60,52,55,55,45,43,48
64,64,60,60,60,55,55,48,43,48,48
64,67,60,60,60,55,48,52,48,48,48
67,69,60,60,60,48,52,53,48,48,41
69,60,60,60,60,52,53,52,48,41,45
60,62,60,60,60,53,52,52,41,45,44
62,60,60,60,60,52,52,52,45,44,45
60,67,60,60,60,52,52,52,44,45,52
67,67,60,60,60,52,52,53,45,52,50
67,64,60,60,60,52,53,55,52,50,48
64,64,60,60,60,53,55,55,50,48,41
64,62,60,60,60,55,55,57,48,41,41
62,62,60,60,60,55,57,50,41,41,41
62,62,60,60,60,57,50,55,41,41,43
62,60,60,60,60,50,55,52,41,43,48
60,65,60,60,60,55,52,57,43,48,41
65,64,60,60,60,52,57,55,48,41,48
64,0,60,60,0,57,55,0,41,48,0
67,64,0,60,60,0,52,48,0,48,48
64,69,60,60,60,52,48,53,48,48,48
69,65,60,60,60,48,53,50,48,48,48
65,67,60,60,60,53,50,52,48,48,48
67,64,60,60,60,50,52,48,48,48,48
64,69,60,60,60,52,48,53,48,48,48
69,65,60,60,60,48,53,50,48,48,48
65,67,60,60,60,53,50,52,48,48,48
67,64,60,60,60,50,52,55,48,48,48
64,67,60,60,60,52,55,52,48,48,48
67,62,60,60,59,55,52,53,48,48,43
62,67,60,59,60,52,53,52,48,43,48
67,64,59,60,60,53,52,48,43,48,48
64,69,60,60,60,52,48,53,48,48,48
69,65,60,60,60,48,53,50,48,48,48
65,67,60,60,60,53,50,52,48,48,48
67,64,60,60,60,50,52,48,48,48,48
64,69,60,60,60,52,48,53,48,48,48
69,65,60,60,60,48,53,50,48,48,48
65,67,60,60,60,53,50,52,48,48,48
67,64,60,60,60,50,52,55,48,48,48
64,67,60,60,60,52,55,52,48,48,48
67,62,60,60,59,55,52,53,48,48,43
62,60,60,59,55,52,53,52,48,43,48
60,64,59,55,60,53,52,55,43,48,48
64,60,55,60,55,52,55,52,48,48,48
60,64,60,55,60,55,52,55,48,48,48
64,67,55,60,60,52,55,52,48,48,48
67,60,60,60,55,55,52,52,48,48,48
60,64,60,55,60,52,52,55,48,48,48
64,60,55,60,55,52,55,52,48,48,48
60,60,60,55,55,55,52,52,48,48,48
60,64,55,55,60,52,52,55,48,48,48
64,60,55,60,55,52,55,52,48,48,48
60,64,60,55,60,55,52,55,48,48,48
64,67,55,60,60,52,55,52,48,48,48
67,60,60,60,55,55,52,52,48,48,48
60,64,60,55,60,52,52,55,48,48,48
64,60,55,60,55,52,55,52,48,48,48
60,67,60,55,59,55,52,50,48,48,43
67,64,55,59,55,52,50,48,48,43,48
64,67,59,55,55,50,48,52,43,48,48
67,62,55,55,59,48,52,53,48,48,43
62,0,55,59,0,52,53,0,48,43,0
60,64,0,55,60,0,52,55,0,48,48
64,64,55,60,60,52,55,55,48,48,47
64,65,60,60,60,55,55,53,48,47,45
65,67,60,60,60,55,53,50,47,45,43
67,69,60,60,60,53,50,48,45,43,41
69,71,60,60,60,50,48,48,43,41,41
71,69,60,60,60,48,48,53,41,41,45
69,69,60,60,62,48,53,53,41,45,45
69,67,60,62,64,53,53,52,45,45,48
67,67,62,64,62,53,52,53,45,48,48
67,67,64,62,60,52,53,55,48,48,52
67,67,62,60,59,53,55,55,48,52,52
67,72,60,59,60,55,55,57,52,52,45
72,71,59,60,62,55,57,55,52,45,47
71,69,60,62,64,57,55,52,45,47,48
69,69,62,64,62,55,52,57,47,48,50
69,69,64,62,60,52,57,57,48,50,50
69,69,62,60,59,57,57,56,50,50,52
69,69,60,59,60,57,56,52,50,52,45
69,69,59,60,60,56,52,53,52,45,41
69,69,60,60,59,52,53,53,45,41,41
69,69,60,59,57,53,53,48,41,41,41
69,69,59,57,62,53,48,57,41,41,41
69,69,57,62,62,48,57,57,41,41,43
69,69,62,62,61,57,57,57,41,43,45
69,69,62,61,60,57,57,52,43,45,45
69,69,61,60,60,57,52,57,45,45,41
69,69,60,60,57,52,57,53,45,41,41
69,69,60,57,55,57,53,52,41,41,48
69,0,57,55,0,53,52,0,41,48,0
64,67,0,60,64,0,55,55,0,48,48
67,67,60,64,64,55,55,55,48,48,43
67,65,64,64,62,55,55,55,48,43,47
65,64,64,62,60,55,55,55,43,47,48
64,60,62,60,60,55,55,52,47,48,48
60,64,60,60,60,55,52,55,48,48,48
64,62,60,60,59,52,55,55,48,48,48
62,64,60,59,60,55,55,55,48,48,48
64,67,59,60,64,55,55,55,48,48,48
67,67,60,64,64,55,55,55,48,48,43
67,67,64,64,64,55,55,55,48,43,45
67,65,64,64,62,55,55,55,43,45,47
65,64,64,62,60,55,55,55,45,47,48
64,67,62,60,64,55,55,55,47,48,48
67,67,60,64,64,55,55,55,48,48,43
67,65,64,64,62,55,55,55,48,43,47
65,64,64,62,60,55,55,55,43,47,48
64,60,62,60,60,55,55,52,47,48,48
60,64,60,60,60,55,52,55,48,48,48
64,62,60,60,59,52,55,55,48,48,48
62,64,60,59,60,55,55,55,48,48,48
64,67,59,60,64,55,55,55,48,48,48
67,67,60,64,64,55,55,55,48,48,43
67,67,64,64,64,55,55,55,48,43,45
67,67,64,64,64,55,55,55,43,45,47
67,65,64,64,62,55,55,55,45,47,43
65,64,64,62,60,55,55,55,47,43,48
64,67,62,60,64,55,55,55,43,48,47
67,67,60,64,65,55,55,55,48,47,47
67,65,64,65,64,55,55,55,47,47,47
65,64,65,64,62,55,55,55,47,47,47
64,64,64,62,60,55,55,55,47,47,47
64,65,62,60,62,55,55,55,47,47,43
65,67,60,62,64,55,55,55,47,43,43
67,65,62,64,62,55,55,55,43,43,43
65,64,64,62,60,55,55,55,43,43,43
64,62,62,60,59,55,55,55,43,43,43
62,64,60,59,60,55,55,55,43,43,48
64,65,59,60,62,55,55,55,43,48,48
65,64,60,62,60,55,55,55,48,48,48
64,62,62,60,59,55,55,55,48,48,48
62,60,60,59,57,55,55,55,48,48,48
60,60,59,57,55,55,55,52,48,48,48
60,62,57,55,55,55,52,55,48,48,47
62,64,55,55,60,52,55,55,48,47,48
64,65,55,60,62,55,55,57,47,48,41
65,64,60,62,60,55,57,55,48,41,43
64,62,62,60,59,57,55,55,41,43,43
62,67,60,59,64,55,55,55,43,43,48
67,69,59,64,65,55,55,55,43,48,48
69,67,64,65,64,55,55,55,48,48,48
67,65,65,64,62,55,55,55,48,48,48
65,64,64,62,60,55,55,55,48,48,48
64,65,62,60,62,55,55,55,48,48,43
65,67,60,62,64,55,55,55,48,43,43
67,65,62,64,62,55,55,55,43,43,43
65,64,64,62,60,55,55,55,43,43,43
64,62,62,60,59,55,55,55,43,43,43
62,64,60,59,60,55,55,55,43,43,48
64,65,59,60,62,55,55,55,43,48,48
65,64,60,62,60,55,55,55,48,48,48
64,62,62,60,59,55,55,55,48,48,48
62,60,60,59,57,55,55,55,48,48,48
60,60,59,57,55,55,55,52,48,48,48
60,62,57,55,55,55,52,55,48,48,47
62,64,55,55,60,52,55,55,48,47,48
64,65,55,60,62,55,55,57,47,48,41
65,64,60,62,60,55,57,55,48,41,43
64,62,62,60,59,57,55,55,41,43,43
62,62,60,59,59,55,55,53,43,43,43
62,60,59,59,60,55,53,52,43,43,48
60,60,59,60,57,53,52,53,43,48,41
60,60,60,57,55,52,53,52,48,41,48
60,0,57,55,0,53,52,0,41,48,0
67,69,0,60,60,0,52,53,0,48,48
69,67,60,60,60,52,53,52,48,48,48
67,65,60,60,60,53,52,53,48,48,48
65,64,60,60,60,52,53,55,48,48,48
64,65,60,60,60,53,55,53,48,48,48
65,67,60,60,60,55,53,52,48,48,48
67,69,60,60,60,53,52,53,48,48,41
69,69,60,60,60,52,53,53,48,41,45
69,67,60,60,60,53,53,52,41,45,48
67,65,60,60,60,53,52,50,45,48,48
65,64,60,60,60,52,50,48,48,48,48
64,65,60,60,60,50,48,50,48,48,48
65,67,60,60,60,48,50,52,48,48,48
67,67,60,60,62,50,52,55,48,48,47
67,69,60,62,62,52,55,54,48,47,45
69,71,62,62,62,55,54,55,47,45,43
71,72,62,62,64,54,55,55,45,43,48
72,71,62,64,62,55,55,55,43,48,50
71,69,64,62,62,55,55,54,48,50,50
69,69,62,62,60,55,54,54,50,50,50
69,67,62,60,59,54,54,55,50,50,43
67,62,60,59,59,54,55,55,50,43,55
62,64,59,59,60,55,55,55,43,55,55
64,62,59,60,59,55,55,55,55,55,53
62,64,60,59,60,55,55,55,55,53,52
64,65,59,60,62,55,55,55,53,52,50
65,67,60,62,62,55,55,55,52,50,50
67,65,62,62,62,55,55,55,50,50,43
65,65,62,62,62,55,55,55,50,43,47
65,64,62,62,60,55,55,55,43,47,48
64,65,62,60,62,55,55,55,47,48,48
65,64,60,62,60,55,55,55,48,48,48
64,65,62,60,59,55,55,55,48,48,50
65,67,60,59,60,55,55,55,48,50,52
67,69,59,60,60,55,55,55,50,52,53
69,67,60,60,60,55,55,55,52,53,52
67,67,60,60,65,55,55,55,53,52,50
67,72,60,65,64,55,55,55,52,50,48
72,71,65,64,67,55,55,55,50,48,48
71,69,64,67,65,55,55,60,48,48,48
69,67,67,65,64,55,60,60,48,48,48
67,72,65,64,64,60,60,60,48,48,48
72,69,64,64,65,60,60,60,48,48,48
69,67,64,65,64,60,60,60,48,48,48
67,65,65,64,62,60,60,57,48,48,41
65,64,64,62,60,60,57,55,48,41,43
64,62,62,60,59,57,55,55,41,43,43
62,62,60,59,59,55,55,53,43,43,43
62,60,59,59,60,55,53,52,43,43,48
60,65,59,60,60,53,52,57,43,48,41
65,64,60,60,60,52,57,55,48,41,48
64,0,60,60,0,57,55,0,41,48,0
67,67,0,64,64,0,60,55,0,48,48
67,67,64,64,64,60,55,60,48,48,48
67,0,64,64,0,55,60,0,48,48,0
72,67,0,64,67,0,60,64,0,48,48
67,72,64,67,67,60,64,60,48,48,52
72,74,67,67,67,64,60,59,48,52,55
74,67,67,67,67,60,59,59,52,55,55
67,67,67,67,67,59,59,62,55,55,59
67,76,67,67,67,59,62,60,55,59,60
76,74,67,67,67,62,60,62,59,60,59
74,76,67,67,67,60,62,60,60,59,60
76,77,67,67,69,62,60,60,59,60,53
77,76,67,69,67,60,60,60,60,53,55
76,74,69,67,67,60,60,59,53,55,55
74,72,67,67,64,60,59,60,55,55,57
72,72,67,64,66,59,60,60,55,57,57
72,71,64,66,67,60,60,62,57,57,55
71,69,66,67,66,60,62,62,57,55,50
69,71,67,66,67,62,62,62,55,50,55
71,72,66,67,67,62,62,60,50,55,52
72,74,67,67,67,62,60,59,55,52,47
74,76,67,67,67,60,59,55,52,47,48
76,71,67,67,67,59,55,62,47,48,50
71,69,67,67,66,55,62,60,48,50,50
69,77,67,66,69,62,60,65,50,50,62
77,77,66,69,71,60,65,65,50,62,62
77,76,69,71,72,65,65,67,62,62,60
76,77,71,72,69,65,67,65,62,60,62
77,77,72,69,71,67,65,65,60,62,62
77,76,69,71,72,65,65,67,62,62,60
76,76,71,72,67,65,67,60,62,60,48
76,74,72,67,67,67,60,59,60,48,55
74,76,67,67,68,60,59,64,48,55,52
76,72,67,68,69,59,64,64,55,52,57
72,74,68,69,66,64,64,62,52,57,50
74,71,69,66,67,64,62,62,57,50,55
71,69,66,67,67,62,62,60,50,55,55
69,67,67,67,67,62,60,59,55,55,55
67,72,67,67,67,60,59,64,55,55,55
72,71,67,67,67,59,64,62,55,55,55
71,72,67,67,67,64,62,64,55,55,55
72,74,67,67,67,62,64,65,55,55,55
74,72,67,67,67,64,65,64,55,55,55
72,67,67,67,67,65,64,64,55,55,55
67,76,67,67,67,64,64,60,55,55,55
76,74,67,67,67,64,60,59,55,55,55
74,76,67,67,67,60,59,60,55,55,55
76,77,67,67,67,59,60,62,55,55,55
77,76,67,67,67,60,62,60,55,55,55
76,74,67,67,67,62,60,59,55,55,55
74,76,67,67,72,60,59,67,55,55,60
76,77,67,72,69,59,67,65,55,60,62
77,77,72,69,71,67,65,65,60,62,62
77,76,69,71,72,65,65,67,62,62,60
76,74,71,72,67,65,67,62,62,60,59
74,72,72,67,67,67,62,62,60,59,57
72,72,67,67,66,62,62,62,59,57,57
72,71,67,66,67,62,62,62,57,57,55
71,71,66,67,67,62,62,62,57,55,53
71,72,67,67,67,62,62,60,55,53,52
72,77,67,67,69,62,60,60,53,52,53
77,76,67,69,67,60,60,60,52,53,55
76,74,69,67,65,60,60,59,53,55,55
74,72,67,65,64,60,59,60,55,55,48
72,72,65,64,65,59,60,57,55,48,53
72,72,64,65,64,60,57,55,48,53,48
72,0,65,64,0,57,55,0,53,48,0
72,71,0,64,67,0,60,60,0,48,48
71,0,64,67,0,60,60,0,48,48,0
60,62,0,55,59,0,52,55,0,48,43
62,64,55,59,60,52,55,55,48,43,48
64,60,59,60,60,55,55,55,43,48,52
60,64,60,60,60,55,55,55,48,52,48
64,62,60,60,60,55,55,55,52,48,48
62,64,60,60,60,55,55,48,48,48,45
64,65,60,60,60,55,48,48,48,45,45
65,67,60,60,59,48,48,50,45,45,43
67,64,60,59,60,48,50,52,45,43,48
64,67,59,60,55,50,52,60,43,48,52
67,67,60,55,64,52,60,55,48,52,48
67,65,55,64,60,60,55,57,52,48,45
65,65,64,60,62,55,57,55,48,45,47
65,64,60,62,60,57,55,55,45,47,48
64,62,62,60,60,55,55,55,47,48,48
62,64,60,60,60,55,55,55,48,48,52
64,60,60,60,60,55,55,55,48,52,52
60,62,60,60,59,55,55,55,52,52,55
62,62,60,59,62,55,55,55,52,55,47
62,64,59,62,60,55,55,55,55,47,48
64,65,62,60,60,55,55,53,47,48,45
65,64,60,60,60,55,53,55,48,45,48
64,65,60,60,60,53,55,57,45,48,41
65,64,60,60,60,55,57,55,48,41,41
64,62,60,60,57,57,55,53,41,41,45
62,60,60,57,57,55,53,52,41,45,45
60,62,57,57,59,53,52,55,45,45,43
62,64,57,59,60,52,55,55,45,43,48
64,62,59,60,60,55,55,55,43,48,48
62,64,60,60,60,55,55,60,48,48,45
64,66,60,60,60,55,60,60,48,45,45
66,67,60,60,62,60,60,59,45,45,43
67,67,60,62,60,60,59,60,45,43,52
67,69,62,60,60,59,60,60,43,52,52
69,67,60,60,62,60,60,55,52,52,47
67,65,60,62,62,60,55,55,52,47,47
65,64,62,62,60,55,55,55,47,47,48
64,64,62,60,60,55,55,55,47,48,50
64,64,60,60,55,55,55,60,48,50,48
64,64,60,55,55,55,60,60,50,48,47
64,65,55,55,60,60,60,53,48,47,45
65,67,55,60,60,60,53,53,47,45,45
67,65,60,60,60,53,53,57,45,45,41
65,64,60,60,60,53,57,57,45,41,41
64,62,60,60,59,57,57,50,41,41,43
62,62,60,59,59,57,50,50,41,43,45
62,62,59,59,59,50,50,55,43,45,43
62,67,59,59,59,50,55,55,45,43,43
67,65,59,59,59,55,55,55,43,43,43
65,64,59,59,60,55,55,55,43,43,48
64,67,59,60,62,55,55,50,43,48,47
67,72,60,62,60,55,50,52,48,47,45
72,65,62,60,62,50,52,57,47,45,41
65,64,60,62,62,52,57,55,45,41,43
64,64,62,62,60,57,55,55,41,43,43
64,62,62,60,60,55,55,53,43,43,43
62,62,60,60,59,55,53,53,43,43,43
62,60,60,59,60,53,53,52,43,43,48
60,60,59,60,57,53,52,53,43,48,41
60,60,60,57,55,52,53,52,48,41,48
60,0,57,55,0,53,52,0,41,48,0
67,76,0,64,64,0,55,55,0,48,48
76,74,64,64,64,55,55,56,48,48,48
74,74,64,64,65,55,56,57,48,48,48
74,72,64,65,65,56,57,57,48,48,48
72,69,65,65,65,57,57,59,48,48,48
69,67,65,65,64,57,59,60,48,48,48
67,69,65,64,65,59,60,55,48,48,47
69,67,64,65,64,60,55,55,48,47,48
67,67,65,64,64,55,55,60,47,48,48
67,69,64,64,65,55,60,60,48,48,53
69,71,64,65,65,60,60,60,48,53,55
71,72,65,65,65,60,60,60,53,55,57
72,72,65,65,66,60,60,60,55,57,57
72,74,65,66,66,60,60,60,57,57,57
74,76,66,66,66,60,60,60,57,57,50
76,74,66,66,67,60,60,59,57,50,55
74,67,66,67,65,60,59,55,50,55,55
67,76,67,65,64,59,55,55,55,55,48
76,71,65,64,64,55,55,56,55,48,48
71,74,64,64,65,55,56,57,48,48,48
74,72,64,65,65,56,57,57,48,48,48
72,69,65,65,65,57,57,59,48,48,48
69,67,65,65,64,57,59,60,48,48,48
67,69,65,64,65,59,60,55,48,48,47
69,67,64,65,64,60,55,55,48,47,48
67,67,65,64,67,55,55,60,47,48,52
67,69,64,67,65,55,60,60,48,52,53
69,69,67,65,65,60,60,62,52,53,50
69,71,65,65,65,60,62,62,53,50,55
71,69,65,65,65,62,62,60,50,55,55
69,67,65,65,65,62,60,59,55,55,55
67,72,65,65,64,60,59,60,55,55,48
72,76,65,64,64,59,60,52,55,48,52
76,64,64,64,64,60,52,56,48,52,52
64,66,64,64,64,52,56,57,52,52,52
66,68,64,64,64,56,57,59,52,52,50
68,69,64,64,64,57,59,57,52,50,48
69,71,64,64,64,59,57,56,50,48,52
71,72,64,64,64,57,56,57,48,52,57
72,76,64,64,64,56,57,57,52,57,48
76,74,64,64,67,57,57,59,57,48,50
74,72,64,67,67,57,59,64,48,50,50
72,71,67,67,67,59,64,62,50,50,50
71,69,67,67,66,64,62,60,50,50,50
69,71,67,66,66,62,60,62,50,50,50
71,69,66,66,66,60,62,60,50,50,50
69,67,66,66,67,62,60,59,50,50,55
67,67,66,67,65,60,59,59,50,55,55
67,76,67,65,64,59,59,60,55,55,48
76,71,65,64,64,59,60,56,55,48,48
71,74,64,64,65,60,56,57,48,48,48
74,72,64,65,65,56,57,57,48,48,48
72,69,65,65,65,57,57,59,48,48,48
69,67,65,65,64,57,59,60,48,48,48
67,69,65,64,65,59,60,55,48,48,47
69,67,64,65,64,60,55,55,48,47,48
67,67,65,64,67,55,55,60,47,48,52
67,69,64,67,65,55,60,60,48,52,53
69,69,67,65,65,60,60,62,52,53,50
69,71,65,65,65,60,62,62,53,50,55
71,69,65,65,65,62,62,60,50,55,55
69,67,65,65,65,62,60,59,55,55,55
67,72,65,65,64,60,59,60,55,55,48
72,72,65,64,65,59,60,57,55,48,53
72,72,64,65,64,60,57,55,48,53,48
72,0,65,64,0,57,55,0,53,48,0
64,67,0,55,58,0,48,49,0,48,41
67,62,55,58,57,48,49,53,48,41,41
62,60,58,57,55,49,53,52,41,41,43
60,64,57,55,55,53,52,48,41,43,48
64,64,55,55,60,52,48,52,43,48,46
64,69,55,60,61,48,52,52,48,46,45
69,67,60,61,61,52,52,57,46,45,45
67,67,61,61,62,52,57,57,45,45,50
67,62,61,62,57,57,57,53,45,50,41
62,60,62,57,55,57,53,52,50,41,43
60,64,57,55,59,53,52,55,41,43,43
64,62,55,59,59,52,55,53,43,43,43
62,60,59,59,60,55,53,52,43,43,48
60,64,59,60,60,53,52,55,43,48,48
64,64,60,60,60,52,55,52,48,48,48
64,62,60,60,59,55,52,53,48,48,50
62,60,60,59,60,52,53,48,48,50,48
60,62,59,60,57,53,48,57,50,48,53
62,64,60,57,59,48,57,56,48,53,52
64,64,57,59,60,57,56,55,53,52,48
64,64,59,60,55,56,55,55,52,48,48
64,64,60,55,55,55,55,48,48,48,48
64,67,55,55,57,55,48,49,48,48,41
67,69,55,57,57,48,49,53,48,41,41
69,69,57,57,59,49,53,53,41,41,41
69,0,57,59,0,53,53,0,41,41,0
64,67,0,55,58,0,48,49,0,48,41
67,62,55,58,57,48,49,53,48,41,41
62,60,58,57,55,49,53,52,41,41,43
60,64,57,55,55,53,52,48,41,43,48
64,64,55,55,60,52,48,52,43,48,46
64,69,55,60,61,48,52,52,48,46,45
69,67,60,61,61,52,52,57,46,45,45
67,67,61,61,62,52,57,57,45,45,50
67,62,61,62,57,57,57,53,45,50,41
62,60,62,57,55,57,53,52,50,41,43
60,64,57,55,59,53,52,55,41,43,43
64,62,55,59,59,52,55,53,43,43,43
62,60,59,59,60,55,53,52,43,43,48
60,64,59,60,60,53,52,55,43,48,48
64,64,60,60,60,52,55,52,48,48,48
64,62,60,60,59,55,52,53,48,48,50
62,60,60,59,60,52,53,48,48,50,48
60,62,59,60,57,53,48,57,50,48,53
62,64,60,57,59,48,57,56,48,53,52
64,64,57,59,60,57,56,55,53,52,48
64,64,59,60,55,56,55,55,52,48,48
64,64,60,55,55,55,55,48,48,48,48
64,67,55,55,57,55,48,49,48,48,41
67,69,55,57,57,48,49,53,48,41,41
69,69,57,57,59,49,53,53,41,41,41
69,0,57,59,0,53,53,0,41,41,0
76,74,0,64,64,0,55,55,0,48,48
74,72,64,64,64,55,55,55,48,48,48
72,71,64,64,65,55,55,55,48,48,50
71,69,64,65,65,55,55,57,48,50,50
69,67,65,65,65,55,57,59,50,50,50
67,67,65,65,67,57,59,60,50,50,52
67,72,65,67,67,59,60,60,50,52,52
72,71,67,67,66,60,60,60,52,52,57
71,72,67,66,66,60,60,60,52,57,57
72,76,66,66,67,60,60,60,57,57,55
76,74,66,67,67,60,60,59,57,55,55
74,74,67,67,67,60,59,59,55,55,53
74,79,67,67,67,59,59,60,55,53,52
79,77,67,67,67,59,60,59,53,52,50
77,76,67,67,67,60,59,60,52,50,48
76,76,67,67,67,59,60,60,50,48,60
76,74,67,67,67,60,60,62,48,60,59
74,72,67,67,67,60,62,64,60,59,57
72,71,67,67,67,62,64,62,59,57,50
71,74,67,67,67,64,62,59,57,50,50
74,72,67,67,66,62,59,57,50,50,50
72,69,67,66,66,59,57,60,50,50,50
69,67,66,66,67,57,60,59,50,50,55
67,67,66,67,65,60,59,59,50,55,55
67,76,67,65,64,59,59,55,55,55,48
76,74,65,64,64,59,55,55,55,48,48
74,72,64,64,64,55,55,55,48,48,48
72,71,64,64,65,55,55,55,48,48,50
