@relation mididateWEKA
@attribute s1 {60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,0}
@attribute s2 {60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,0}
@attribute a {55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,0}
@attribute a1 {55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,0}
@attribute a2 {55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,0}
@attribute t {48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,0}
@attribute t1 {48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,0}
@attribute t2 {48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,0}
@attribute b {41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,0}
@attribute b1 {41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,0}
@attribute b2 {41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,0}

@data
74,74,67,67,65,60,59,59,53,55,55
74,72,67,65,64,59,59,60,55,55,48
72,72,65,64,65,59,60,57,55,48,53
72,72,64,65,64,60,57,55,48,53,48
72,0,65,64,0,57,55,0,53,48,0
60,62,0,55,55,0,52,55,0,48,47
62,64,55,55,55,52,55,55,48,47,48
64,65,55,55,60,55,55,53,47,48,45
65,64,55,60,60,55,53,55,48,45,48
64,64,60,60,59,53,55,55,45,48,48
64,62,60,59,57,55,55,53,48,48,41
62,60,59,57,57,55,53,53,48,41,41
60,60,57,57,57,53,53,52,41,41,41
60,60,57,57,55,53,52,52,41,41,48
60,64,57,55,55,52,52,48,41,48,48
64,64,55,55,55,52,48,48,48,48,47
64,65,55,55,60,48,48,48,48,47,45
65,65,55,60,60,48,48,50,47,45,45
65,67,60,60,59,48,50,52,45,45,43
67,69,60,59,57,50,52,53,45,43,41
69,67,59,57,58,52,53,50,43,41,43
67,67,57,58,58,53,50,52,41,43,43
67,65,58,58,60,50,52,53,43,43,45
65,64,58,60,60,52,53,55,43,45,48
64,62,60,60,57,53,55,53,45,48,41
62,60,60,57,57,55,53,53,48,41,41
60,60,57,57,60,53,53,53,41,41,45
60,60,57,60,60,53,53,52,41,45,45
60,67,60,60,59,53,52,50,45,45,43
67,65,60,59,60,52,50,48,45,43,45
65,64,59,60,60,50,48,55,43,45,48
64,62,60,60,57,48,55,53,45,48,53
62,62,60,57,59,55,53,53,48,53,53
62,64,57,59,60,53,53,55,53,53,52
64,67,59,60,60,53,55,55,53,52,52
67,67,60,60,59,55,55,54,52,52,50
67,67,60,59,57,55,54,52,52,50,48
67,66,59,57,57,54,52,50,50,48,50
66,67,57,57,59,52,50,50,48,50,43
67,64,57,59,60,50,50,48,50,43,48
64,64,59,60,59,50,48,48,43,48,48
64,62,60,59,57,48,48,53,48,48,41
62,60,59,57,57,48,53,53,48,41,41
60,64,57,57,60,53,53,55,41,41,43
64,62,57,60,59,53,55,55,41,43,43
62,0,60,59,0,55,55,0,43,43,0
72,71,0,64,67,0,55,55,0,48,48
71,69,64,67,65,55,55,60,48,48,48
69,67,67,65,64,55,60,60,48,48,48
67,64,65,64,60,60,60,55,48,48,48
64,67,64,60,64,60,55,60,48,48,48
67,69,60,64,65,55,60,60,48,48,53
69,65,64,65,60,60,60,57,48,53,53
65,69,65,60,65,60,57,60,53,53,53
69,69,60,65,65,57,60,60,53,53,48
69,67,65,65,64,60,60,60,53,48,48
67,72,65,64,67,60,60,60,48,48,52
72,71,64,67,65,60,60,55,48,52,50
71,72,67,65,64,60,55,55,52,50,48
72,74,65,64,67,55,55,59,50,48,55
74,73,64,67,67,55,59,58,48,55,55
73,74,67,67,67,59,58,59,55,55,55
74,76,67,67,67,58,59,60,55,55,55
76,74,67,67,67,59,60,59,55,55,55
74,76,67,67,67,60,59,60,55,55,55
76,77,67,67,67,59,60,62,55,55,55
77,76,67,67,67,60,62,60,55,55,48
76,74,67,67,65,62,60,55,55,48,48
74,72,67,65,64,60,55,60,48,48,48
72,67,65,64,67,55,60,64,48,48,48
67,67,64,67,65,60,64,62,48,48,48
67,72,67,65,64,64,62,60,48,48,48
72,76,65,64,67,62,60,55,48,48,48
76,74,64,67,65,60,55,55,48,48,48
74,72,67,65,64,55,55,60,48,48,48
72,67,65,64,67,55,60,64,48,48,48
67,67,64,67,65,60,64,62,48,48,48
67,67,67,65,64,64,62,60,48,48,48
67,69,65,64,65,62,60,60,48,48,53
69,69,64,65,69,60,60,60,48,53,53
69,71,65,69,68,60,60,64,53,53,52
71,72,69,68,69,60,64,64,53,52,57
72,72,68,69,69,64,64,60,52,57,57
72,74,69,69,69,64,60,60,57,57,53
74,76,69,69,67,60,60,60,57,53,55
76,74,69,67,65,60,60,59,53,55,55
74,72,67,65,64,60,59,60,55,55,48
72,72,65,64,65,59,60,57,55,48,53
72,72,64,65,64,60,57,55,48,53,48
72,0,65,64,0,57,55,0,53,48,0
67,76,0,64,67,0,60,55,0,48,48
76,74,64,67,65,60,55,57,48,48,48
74,76,67,65,65,55,57,59,48,48,48
76,72,65,65,64,57,59,60,48,48,48
72,67,65,64,64,59,60,60,48,48,48
67,67,64,64,60,60,60,60,48,48,52
67,65,64,60,62,60,60,60,48,52,55
65,65,60,62,62,60,60,59,52,55,55
65,69,62,62,65,60,59,55,55,55,55
69,67,62,65,64,59,55,57,55,55,55
67,65,65,64,62,55,57,59,55,55,55
65,65,64,62,62,57,59,59,55,55,48
65,64,62,62,60,59,59,60,55,48,48
64,65,62,60,59,59,60,55,48,48,50
65,65,60,59,62,60,55,55,48,50,50
65,67,59,62,60,55,55,55,50,50,52
67,76,62,60,67,55,55,55,50,52,48
76,74,60,67,65,55,55,57,52,48,48
74,76,67,65,65,55,57,59,48,48,48
76,72,65,65,64,57,59,60,48,48,48
72,67,65,64,64,59,60,60,48,48,48
67,72,64,64,64,60,60,60,48,48,45
72,72,64,64,69,60,60,64,48,45,45
72,71,64,69,67,60,64,62,45,45,50
71,69,69,67,62,64,62,60,45,50,50
69,67,67,62,62,62,60,59,50,50,50
67,66,62,62,60,60,59,57,50,50,50
66,67,62,60,59,59,57,55,50,50,43
67,67,60,59,62,57,55,59,50,43,55
67,69,59,62,64,55,59,60,43,55,55
69,71,62,64,65,59,60,62,55,55,55
71,72,64,65,64,60,62,60,55,55,57
72,69,65,64,64,62,60,60,55,57,57
69,69,64,64,63,60,60,60,57,57,53
69,72,64,63,63,60,60,57,57,53,53
72,71,63,63,63,60,57,59,53,53,53
