@relation mididateWEKA
@attribute s {60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,0}
65,64,62,60,60,59,53,55,55,45,43,43
64,62,62,60,59,59,55,55,53,43,43,43
62,62,60,59,59,60,55,53,52,43,43,48
62,60,65,59,60,60,53,52,53,43,48,45
60,65,67,60,60,60,52,53,52,48,45,48
65,67,69,60,60,60,53,52,53,45,48,53
67,69,67,60,60,60,52,53,55,48,53,52
69,67,65,60,60,60,53,55,57,53,52,50
67,65,65,60,60,59,55,57,53,52,50,50
65,65,64,60,59,60,57,53,55,50,50,52
65,64,64,59,60,60,53,55,55,50,52,53
64,64,64,60,60,60,55,55,55,52,53,55
64,64,62,60,60,59,55,55,55,53,55,43
64,62,64,60,59,60,55,55,55,55,43,48
62,64,65,59,60,60,55,55,55,43,48,50
64,65,67,60,60,60,55,55,55,48,50,52
65,67,60,60,60,60,55,55,55,50,52,52
67,60,65,60,60,60,55,55,55,52,52,50
60,65,65,60,60,59,55,55,53,52,50,50
65,65,64,60,59,60,55,53,55,50,50,48
65,64,65,59,60,60,53,55,53,50,48,45
64,65,64,60,60,60,55,53,55,48,45,43
65,64,62,60,60,59,53,55,55,45,43,43
64,62,62,60,59,59,55,55,53,43,43,43
62,62,60,59,59,60,55,53,52,43,43,48
62,60,71,59,60,67,53,52,62,43,48,43
60,71,72,60,67,67,52,62,60,48,43,45
71,72,72,67,67,66,62,60,60,43,45,45
72,72,74,67,66,67,60,60,59,45,45,47
72,74,67,66,67,67,60,59,59,45,47,55
74,67,67,67,67,67,59,59,59,47,55,53
67,67,72,67,67,67,59,59,60,55,53,52
67,72,74,67,67,65,59,60,60,53,52,50
72,74,74,67,65,65,60,60,59,52,50,50
74,74,76,65,65,64,60,59,60,50,50,48
74,76,71,65,64,67,59,60,62,50,48,55
76,71,72,64,67,67,60,62,62,48,55,57
71,72,74,67,67,67,62,62,62,55,57,59
72,74,67,67,67,67,62,62,62,57,59,59
74,67,72,67,67,67,62,62,62,59,59,57
67,72,72,67,67,66,62,62,62,59,57,57
72,72,71,67,66,67,62,62,62,57,57,55
72,71,72,66,67,67,62,62,60,57,55,52
71,72,71,67,67,67,62,60,62,55,52,50
